Invoice #,Ex. Order No,Customer,Event,Venue,Event Date,Section,Row,Low Seat,High Seat,Sold Qty,Sale Date,Purchase Price/tix,Sell Price/tix,Total Purchase Price,Total Sell Price,Profit Loss,ROI(%),Margin,Shipping Cost,Tax
91721,56669933,VividSeats,WonderBus Festival - Sunday Passes Only,The Lawn at CAS,8/27/2023 12:00 PM,General Admission,SUNDAY,0,0,4,8/27/2023 11:52 AM,$ 50.00,$ 87.40,$ 200.00,$ 349.60,$ 149.60,74.80,42.79,$ 0.00,$ 0.00
91354,56613972,VividSeats,WonderBus Festival - Saturday Passes Only,The Lawn at CAS,8/26/2023 12:00 PM,General Admission,Saturday,0,0,3,8/22/2023 09:30 PM,$ 50.00,$ 66.96,$ 150.00,$ 200.88,$ 50.88,33.92,25.33,$ 0.00,$ 0.00
91440,56664418,VividSeats,WonderBus Festival - Friday Passes Only,The Lawn at CAS,8/25/2023 12:00 PM,VIP,Friday,0,0,2,8/24/2023 03:26 PM,$ 200.00,$ 190.65,$ 400.00,$ 381.30,($ 18.70),0.00,4.90,$ 0.00,$ 0.00
91515,56674543,VividSeats,WonderBus Festival - Friday Passes Only,The Lawn at CAS,8/25/2023 12:00 PM,General Admission,FRIDAY,0,0,2,8/25/2023 11:40 AM,$ 50.00,$ 87.40,$ 100.00,$ 174.80,$ 74.80,74.80,42.79,$ 0.00,$ 0.00
91072,56493322,VividSeats,WonderBus Festival - Friday Passes Only,The Lawn at CAS,8/25/2023 12:00 PM,General Admission,FRIDAY,0,0,1,8/18/2023 11:11 PM,$ 50.00,$ 94.86,$ 50.00,$ 94.86,$ 44.86,89.72,47.29,$ 0.00,$ 0.00
91513,43326829,TicketNetwork,WonderBus Festival - Friday Passes Only,The Lawn at CAS,8/25/2023 12:00 PM,General Admission,FRIDAY,0,0,2,8/25/2023 11:28 AM,$ 50.00,$ 87.40,$ 100.00,$ 174.80,$ 74.80,74.80,42.79,$ 0.00,$ 0.00
91704,56767373,VividSeats,WonderBus Festival - Sunday Passes Only,The Lawn at CAS,8/27/2023 12:00 PM,General Admission,SUNDAY,0,0,1,8/26/2023 11:13 PM,$ 50.00,$ 57.66,$ 50.00,$ 57.66,$ 7.66,15.32,13.28,$ 0.00,$ 0.00
91630,56743206,VividSeats,WonderBus Festival - Saturday Passes Only,The Lawn at CAS,8/26/2023 12:00 PM,General Admission,Saturday,0,0,2,8/26/2023 01:15 PM,$ 50.00,$ 62.31,$ 100.00,$ 124.62,$ 24.62,24.62,19.76,$ 0.00,$ 0.00
91438,521510245,VGG,WonderBus Festival - Sunday Passes Only,The Lawn at CAS,8/27/2023 12:00 PM,General Admission,SUNDAY,0,0,1,8/24/2023 03:26 PM,$ 50.00,$ 89.30,$ 50.00,$ 89.30,$ 39.30,78.60,44.01,$ 0.00,$ 0.00
91497,521548522,VGG,WonderBus Festival - Friday Passes Only,The Lawn at CAS,8/25/2023 12:00 PM,General Admission,FRIDAY,0,0,1,8/25/2023 10:06 AM,$ 50.00,$ 89.30,$ 50.00,$ 89.30,$ 39.30,78.60,44.01,$ 0.00,$ 0.00
91195,521310354,VGG,WonderBus Festival - Sunday Passes Only,The Lawn at CAS,8/27/2023 12:00 PM,General Admission,Sunday,0,0,1,8/20/2023 09:58 AM,$ 50.00,$ 93.06,$ 50.00,$ 93.06,$ 43.06,86.12,46.27,$ 0.00,$ 0.00
91442,56665227,VividSeats,WonderBus Festival - Friday Passes Only,The Lawn at CAS,8/25/2023 12:00 PM,VIP,Friday,0,0,1,8/24/2023 03:49 PM,$ 200.00,$ 190.65,$ 200.00,$ 190.65,($ 9.35),0.00,4.90,$ 0.00,$ 0.00
91369,521444064,VGG,WonderBus Festival - Saturday Passes Only,The Lawn at CAS,8/26/2023 12:00 PM,General Admission,Saturday,0,0,2,8/23/2023 09:14 AM,$ 50.00,$ 64.86,$ 100.00,$ 129.72,$ 29.72,29.72,22.91,$ 0.00,$ 0.00
