Invoice #,Ex. Order No,Customer,Event,Venue,Event Date,Section,Row,Low Seat,High Seat,Sold Qty,Sale Date,Purchase Price/tix,Sell Price/tix,Total Purchase Price,Total Sell Price,Profit Loss,ROI(%),Margin,Shipping Cost,Tax
95614,524012486,VGG,"Austin City Limits Festival - Weekend One - Sunday Only (Mumford & Sons, Odesza, Hozier and more)",Zilker Park,2023-10-08 12:00:00,General Admission,Sunday,0,0,1,2023-10-08 13:31:00,163.22,215.26,163.22,215.26,52.04,31.88,24.18,0,0
94681,yn9ri272g2y,SeatGeek,"Austin City Limits Festival - Weekend Two - Friday Only (Kendrick Lamar, The Lumineers, Kali Uchis and more)",Zilker Park,2023-10-13 13:00:00,General Admission,Friday,0,0,3,2023-10-03 21:22:00,170.0,177.6,510.0,532.8,22.8,4.47,4.28,0,0
94639,729430997,TickPick,"Austin City Limits Festival - Weekend One - Friday Only (Kendrick Lamar, The Lumineers, Kali Uchis and more)",Zilker Park,2023-10-06 13:00:00,General Admission,Friday,0,0,2,2023-10-03 13:27:00,170.0,170.1,340.0,340.2,0.2,0.06,0.06,0,0
95587,524003379,VGG,"Austin City Limits Festival - Weekend One - Sunday Only (Mumford & Sons, Odesza, Hozier and more)",Zilker Park,2023-10-08 12:00:00,General Admission,Sunday,0,0,2,2023-10-08 10:05:00,163.22,234.06,326.44,468.12,141.68,43.4,30.27,0,0
95235,523921701,VGG,"Austin City Limits Festival - Weekend One - Sunday Only (Mumford & Sons, Odesza, Hozier and more)",Zilker Park,2023-10-08 12:00:00,General Admission,Sunday,0,0,3,2023-10-06 18:06:00,163.22,177.66,489.66,532.98,43.32,8.85,8.13,0,0
95353,523949176,VGG,"Austin City Limits Festival - Weekend One - Saturday Only (Foo Fighters, Shania Twain, Alanis Morissette and more)",Zilker Park,2023-10-07 12:00:00,General Admission,Saturday,0,0,2,2023-10-07 09:49:00,163.22,234.06,326.44,468.12,141.68,43.4,30.27,0,0
94034,AEZ6T1X25Y,Gametime,"Austin City Limits Music Festival with Kendrick Lamar, Shania Twain, Hozier and more - Weekend One - 3 Day Pass (10/6-10/8)",Zilker Park,2023-10-06 11:59:00,General Admission,3DAY,0,0,2,2023-09-24 12:40:00,375.0,403.75,750.0,807.5,57.5,7.67,7.12,0,0
92909,522616734,VGG,"Austin City Limits Festival - Weekend One - Friday Only (Kendrick Lamar, The Lumineers, Kali Uchis and more)",Zilker Park,2023-10-06 13:00:00,General Admission,Friday,0,0,2,2023-09-12 20:13:00,163.22,177.66,326.44,355.32,28.88,8.85,8.13,0,0
95232,523921621,VGG,"Austin City Limits Festival - Weekend Two - Friday Only (Kendrick Lamar, The Lumineers, Kali Uchis and more)",Zilker Park,2023-10-13 13:00:00,General Admission,Friday,0,0,1,2023-10-06 17:59:00,170.0,177.66,170.0,177.66,7.66,4.51,4.31,0,0
95520,523973619,VGG,"Austin City Limits Festival - Weekend One - Saturday Only (Foo Fighters, Shania Twain, Alanis Morissette and more)",Zilker Park,2023-10-07 12:00:00,General Admission,Saturday,0,0,2,2023-10-07 16:04:00,163.22,234.06,326.44,468.12,141.68,43.4,30.27,0,0
